epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.3397,1.3154,2.39703,3.58782,1.34372,0.00324,0.33333,0.14777,0.05942,0.00338,0.34722,0.10227,0.05953,1.03182,1.71044,3.6729,1.20256,1.429e-05,1.429e-05,1.429e-05
2,176.264,1.13652,1.94825,3.45581,1.24217,0.0033,0.33333,0.17957,0.10002,0.00383,0.38889,0.15942,0.12869,0.97527,1.24892,3.66483,1.16463,4.20212e-05,4.20212e-05,4.20212e-05
3,248.121,0.88798,1.36314,3.32233,1.12327,0.00343,0.33333,0.28457,0.2151,0.00369,0.36111,0.28888,0.25761,0.88965,0.86398,3.64445,1.085,6.86206e-05,6.86206e-05,6.86206e-05
4,297.696,0.81406,1.14249,3.19299,1.08212,0.00361,0.33333,0.33167,0.30275,0.00399,0.375,0.33188,0.32413,0.84269,0.64644,3.62235,1.02779,9.40882e-05,9.40882e-05,9.40882e-05
5,344.643,0.86833,1.0054,2.99114,1.05084,0.00382,0.34722,0.33173,0.28132,0.00395,0.36111,0.33181,0.31729,0.8612,0.54908,3.63028,0.99879,0.000118424,0.000118424,0.000118424
6,388.881,0.78826,0.99693,2.51601,0.97234,0.00426,0.33333,0.33167,0.28158,0.00438,0.34722,0.33173,0.31487,0.79258,0.53697,3.60821,0.98395,0.000141628,0.000141628,0.000141628
7,435.089,0.75212,0.77872,2.34136,0.94875,0.00495,0.33333,0.33167,0.29289,0.00529,0.375,0.33186,0.3272,0.79065,0.56798,3.49055,0.96873,0.000163701,0.000163701,0.000163701
8,479.543,0.72351,0.6568,1.90805,0.94855,0.99613,0.33333,0.33167,0.30367,0.99613,0.33333,0.33231,0.3293,0.7908,0.58329,3.39401,0.9408,0.000184641,0.000184641,0.000184641
9,529.381,0.69415,0.53058,1.76952,0.97872,1,0.29569,0.33167,0.30583,1,0.29569,0.3318,0.32993,0.79481,0.58798,3.34855,0.92945,0.00020445,0.00020445,0.00020445
10,582.421,0.68614,0.73566,1.49738,0.92426,0.99888,0.33333,0.33167,0.31386,0.99888,0.33333,0.3318,0.33171,0.80114,0.56412,3.30811,0.91329,0.000223127,0.000223127,0.000223127
11,633.219,0.63328,0.67181,1.37895,0.89981,0.9947,0.33333,0.33173,0.30754,0.9947,0.33333,0.33204,0.33178,0.84591,0.58423,3.24967,0.93638,0.000240672,0.000240672,0.000240672
12,678.241,0.66237,0.69238,1.28298,0.91719,0.99556,0.33333,0.33167,0.3091,0.99556,0.33333,0.33181,0.33168,0.82868,0.70093,3.2199,0.92086,0.000257086,0.000257086,0.000257086
13,722.725,0.70351,0.67353,1.22817,0.92435,0.99603,0.33333,0.33173,0.31875,0.99603,0.33333,0.33183,0.33171,0.75352,1.0817,3.18858,0.88126,0.000272367,0.000272367,0.000272367
14,771.201,0.63778,0.73165,1.25663,0.91542,0.99679,0.33333,0.33187,0.32464,0.99679,0.33333,0.33195,0.33184,0.71254,1.04933,3.1006,0.87036,0.000286517,0.000286517,0.000286517
15,825.689,0.59287,0.53582,1.28987,0.93445,0.99865,0.33333,0.3321,0.3138,0.99865,0.33333,0.33239,0.33194,0.7106,0.69831,2.92895,0.88677,0.000299536,0.000299536,0.000299536
16,876.17,0.59134,0.53371,1.19814,0.88505,0.99937,0.33333,0.33204,0.31644,0.99937,0.33333,0.33257,0.3321,0.70292,0.49743,2.86265,0.89374,0.000311422,0.000311422,0.000311422
17,929.281,0.60955,0.48579,1.30377,0.92559,0.99904,0.33333,0.33205,0.3244,0.99904,0.33333,0.33257,0.33214,0.66941,0.44676,2.83649,0.86487,0.000322177,0.000322177,0.000322177
18,975.281,0.6118,0.65149,1.0931,0.86483,0.99838,0.33333,0.33214,0.32528,0.99838,0.33333,0.33266,0.3323,0.65175,0.46061,2.89162,0.85641,0.0003318,0.0003318,0.0003318
19,1020.19,0.60869,0.5796,1.08993,0.89752,0.99846,0.33333,0.33231,0.32709,0.99846,0.33333,0.33253,0.33229,0.64605,0.4942,2.91924,0.85432,0.000340291,0.000340291,0.000340291
20,1069.98,0.57807,0.52469,1.19096,0.88304,0.99855,0.33333,0.33242,0.32557,0.99855,0.33333,0.33262,0.33232,0.6508,0.44656,2.92448,0.85371,0.00034765,0.00034765,0.00034765
21,1123.68,0.57086,0.5974,1.12744,0.93025,0.99738,0.33333,0.33259,0.33015,0.99738,0.33333,0.33293,0.33245,0.63494,0.39869,2.97243,0.84331,0.000353878,0.000353878,0.000353878
22,1177.63,0.62034,0.64161,1.12116,0.88225,0.99663,0.33333,0.33351,0.33066,0.99663,0.33333,0.33364,0.33303,0.64852,0.40104,2.94508,0.84435,0.000358973,0.000358973,0.000358973
23,1227.35,0.56719,0.5748,1.19803,0.89255,0.9982,0.33333,0.33539,0.31799,0.9982,0.33333,0.33565,0.33441,0.66964,0.4166,2.86746,0.8601,0.000362937,0.000362937,0.000362937
24,1286.53,0.55047,0.57225,1.16835,0.90317,0.99768,0.33333,0.35414,0.33663,0.99768,0.33333,0.35414,0.34889,0.63309,0.4275,2.86639,0.85571,0.00036577,0.00036577,0.00036577
25,1347.99,0.58587,0.54181,1.05441,0.89449,0.99831,0.33333,0.37025,0.34947,0.99831,0.33333,0.37025,0.36133,0.62335,0.40297,2.82693,0.84895,0.00036747,0.00036747,0.00036747
